GSR	TIME
327	102
326	153
326	205
326	257
326	308
327	360
326	411
327	462
326	514
326	566
327	617
326	668
327	720
327	772
327	823
327	875
327	926
327	977
327	1030
327	1081
327	1132
327	1184
327	1235
327	1287
327	1339
327	1390
327	1441
327	1494
327	1545
327	1596
327	1648
327	1699
327	1752
327	1803
327	1854
327	1906
327	1957
327	2009
327	2061
327	2112
327	2163
327	2215
326	2267
327	2318
327	2370
327	2421
326	2472
327	2525
326	2576
326	2628
326	2679
326	2731
326	2783
326	2834
326	2885
326	2937
325	2989
326	3040
325	3092
325	3143
325	3195
325	3247
325	3298
325	3350
325	3401
325	3452
325	3505
324	3556
324	3607
324	3659
324	3710
324	3762
324	3814
324	3865
324	3916
324	3969
324	4020
324	4072
324	4123
324	4174
324	4227
323	4278
323	4329
323	4381
323	4432
323	4485
323	4536
323	4587
323	4639
323	4690
323	4742
323	4794
323	4845
323	4896
323	4948
323	5000
323	5051
323	5103
323	5154
322	5207
322	5258
322	5309
322	5361
322	5412
322	5464
322	5516
322	5567
322	5618
322	5670
322	5722
322	5773
322	5825
322	5876
322	5928
322	5980
322	6031
322	6083
322	6134
321	6185
321	6238
322	6289
322	6340
322	6392
322	6444
321	6495
321	6547
321	6598
321	6650
321	6702
322	6753
322	6805
321	6856
321	6907
321	6960
321	7011
322	7062
322	7114
321	7165
321	7218
322	7269
322	7320
322	7372
321	7424
321	7475
322	7527
322	7578
322	7629
321	7682
322	7733
321	7784
322	7836
322	7887
322	7940
322	7991
322	8042
322	8094
322	8145
322	8197
322	8249
322	8300
322	8351
322	8403
322	8455
322	8506
322	8558
322	8609
322	8662
322	8713
322	8764
322	8816
322	8867
322	8919
322	8971
322	9022
322	9073
322	9125
322	9177
322	9228
322	9280
322	9331
322	9383
322	9435
322	9486
322	9538
322	9589
322	9640
322	9693
322	9744
323	9795
323	9847
322	9899
323	9951
322	10002
323	10053
323	10105
323	10157
323	10209
323	10260
323	10311
323	10363
323	10415
323	10467
323	10518
323	10569
323	10621
323	10673
323	10725
323	10776
323	10827
323	10880
323	10931
323	10983
323	11034
323	11085
323	11138
323	11189
323	11241
323	11292
323	11343
323	11396
323	11447
323	11499
323	11550
323	11601
323	11654
323	11705
323	11757
323	11808
323	11859
323	11912
323	11963
323	12015
324	12066
323	12118
324	12170
324	12221
324	12273
324	12324
324	12376
324	12428
324	12479
324	12531
324	12582
324	12634
324	12686
324	12737
324	12789
324	12840
324	12892
324	12944
324	12995
324	13047
324	13099
324	13150
324	13202
324	13253
324	13305
324	13357
324	13408
324	13460
324	13511
324	13563
324	13615
324	13666
324	13718
324	13769
324	13821
325	13873
325	13924
324	13976
324	14027
325	14080
325	14131
325	14182
325	14234
324	14285
325	14338
325	14389
325	14440
325	14492
325	14543
325	14596
325	14647
325	14698
325	14750
325	14801
325	14854
325	14905
325	14956
325	15008
325	15059
325	15112
325	15163
325	15214
325	15266
325	15318
325	15370
325	15421
325	15472
325	15524
325	15576
325	15628
325	15679
325	15730
325	15782
325	15834
325	15886
325	15937
325	15988
325	16040
325	16092
325	16144
325	16195
325	16246
325	16299
325	16350
325	16402
325	16453
325	16504
325	16557
325	16608
325	16660
325	16711
325	16762
325	16815
324	16866
324	16918
324	16969
324	17020
324	17073
324	17124
324	17176
324	17227
324	17278
324	17331
324	17382
324	17434
324	17485
324	17537
323	17589
323	17640
324	17692
323	17743
324	17795
323	17847
323	17898
324	17950
323	18001
323	18053
323	18105
323	18156
323	18208
323	18259
323	18311
323	18363
323	18414
323	18466
323	18518
323	18569
323	18621
323	18672
323	18724
323	18776
323	18827
323	18879
323	18930
323	18982
323	19034
323	19085
323	19137
323	19188
323	19240
323	19292
323	19343
323	19395
323	19446
323	19499
323	19550
322	19601
323	19653
322	19704
322	19757
322	19808
322	19859
322	19911
322	19962
322	20015
321	20066
321	20117
321	20169
321	20220
321	20273
321	20324
321	20375
321	20427
321	20478
321	20531
321	20582
320	20633
320	20685
320	20737
320	20789
320	20840
320	20891
320	20943
320	20995
320	21047
320	21098
320	21149
319	21201
319	21253
319	21305
319	21356
319	21407
319	21459
319	21511
319	21563
319	21614
319	21665
319	21718
319	21769
319	21821
319	21872
319	21923
319	21976
319	22027
319	22079
319	22130
319	22181
319	22234
319	22285
319	22337
319	22388
319	22439
319	22492
319	22543
319	22595
319	22646
319	22697
319	22750
319	22801
319	22853
319	22904
319	22956
319	23008
319	23059
319	23111
319	23162
319	23214
319	23266
319	23317
319	23369
319	23420
319	23472
319	23524
319	23575
319	23627
319	23678
319	23730
319	23782
319	23833
320	23885
319	23937
320	23988
319	24040
320	24091
320	24143
320	24195
320	24246
320	24298
320	24349
320	24401
320	24453
320	24504
320	24556
320	24607
320	24659
320	24711
320	24762
320	24814
320	24865
320	24918
321	24969
320	25020
320	25072
320	25123
320	25176
320	25227
320	25278
321	25330
321	25381
321	25434
321	25485
321	25536
321	25588
321	25639
321	25692
321	25743
321	25794
321	25846
321	25897
321	25950
321	26001
321	26052
321	26104
321	26156
321	26208
321	26259
321	26310
321	26362
321	26414
321	26466
322	26517
321	26568
322	26620
322	26672
321	26724
322	26775
322	26826
322	26878
322	26930
322	26982
322	27033
322	27084
322	27137
322	27188
322	27240
322	27291
322	27342
322	27395
322	27446
322	27498
322	27549
322	27600
322	27653
322	27704
322	27756
322	27807
323	27858
323	27911
323	27962
323	28014
323	28065
323	28116
323	28169
323	28220
323	28272
323	28323
323	28375
323	28427
323	28478
323	28530
323	28581
323	28633
323	28685
323	28736
323	28788
323	28839
323	28891
323	28943
324	28994
323	29046
323	29097
323	29149
323	29201
323	29252
324	29304
324	29356
323	29407
324	29459
323	29510
324	29562
324	29614
324	29665
324	29717
324	29768
324	29820
324	29872
324	29923
324	29975
324	30026
324	30078
324	30130
324	30181
324	30233
324	30284
324	30337
324	30388
324	30439
324	30491
324	30542
324	30595
324	30646
324	30697
324	30749
324	30800
325	30853
324	30904
325	30955
325	31007
324	31058
325	31111
324	31162
325	31213
325	31265
324	31316
324	31369
325	31420
325	31471
324	31523
325	31575
325	31627
324	31678
325	31729
325	31781
325	31833
325	31885
325	31936
325	31987
325	32039
325	32091
325	32143
325	32194
325	32245
325	32297
325	32349
325	32401
325	32452
325	32503
325	32556
325	32607
325	32659
326	32710
326	32761
325	32814
326	32865
325	32917
326	32968
326	33019
326	33072
326	33123
326	33175
326	33226
326	33277
326	33330
326	33381
326	33433
326	33484
326	33536
326	33588
326	33639
326	33691
326	33742
326	33794
326	33846
326	33897
326	33949
326	34000
326	34052
326	34104
326	34155
326	34207
326	34258
326	34310
327	34362
326	34413
326	34465
326	34516
326	34568
326	34620
326	34671
326	34723
326	34775
326	34826
326	34878
327	34929
327	34981
326	35033
327	35084
327	35136
327	35187
327	35239
327	35291
327	35342
327	35394
327	35445
327	35497
