time,gsr,ecg
0.31,317,329
1.38,317,327
2.34,317,326
3.20,318,326
4.06,318,328
4.90,317,330
5.76,317,332
6.62,317,334
7.48,317,334
8.34,318,335
9.20,317,337
10.06,317,337
10.96,317,335
11.86,317,334
12.76,317,333
13.66,317,332
14.56,317,333
15.46,317,332
16.36,317,333
17.26,317,333
18.17,317,334
19.07,318,332
19.97,317,333
20.87,318,332
21.77,317,329
22.67,318,329
23.58,318,327
24.47,317,327
25.38,317,326
26.28,317,324
27.18,318,324
28.08,317,326
28.98,317,327
29.87,317,327
30.77,317,330
31.67,317,331
32.58,318,331
33.48,317,332
34.38,318,334
35.28,318,335
36.18,317,336
37.08,317,336
37.98,318,333
38.88,318,333
39.78,318,331
40.69,318,329
41.59,317,331
42.49,318,330
43.39,318,331
44.29,318,329
45.19,317,330
46.10,318,331
46.99,318,332
47.90,318,333
48.80,318,335
49.70,317,335
50.61,318,336
51.52,318,336
52.42,318,336
53.32,318,335
54.22,318,336
55.12,318,336
56.02,318,335
56.92,318,335
57.82,317,335
58.72,318,334
59.62,318,334
60.53,318,332
61.43,318,332
62.34,318,331
63.24,318,330
64.14,318,329
65.04,318,327
65.94,318,326
66.85,318,326
67.75,318,326
68.65,318,326
69.55,318,327
70.46,318,329
71.36,318,331
72.26,318,335
73.17,318,339
74.08,318,342
74.98,319,343
75.88,317,344
76.78,318,342
77.68,318,344
78.58,318,341
79.49,318,340
80.39,318,341
81.30,319,341
82.21,318,341
83.11,318,341
84.02,318,340
84.92,318,340
85.82,318,341
86.73,318,344
87.63,318,344
88.54,318,343
89.45,318,343
90.35,318,343
91.26,318,343
92.18,318,342
93.07,318,339
93.98,318,340
94.88,318,339
95.78,318,339
96.69,318,340
97.59,318,341
98.50,318,340
99.40,319,340
100.30,318,338
101.28,318,336
102.26,318,334
103.22,319,335
104.19,318,333
105.16,319,333
106.13,319,332
107.10,318,332
108.06,319,332
109.02,318,331
109.99,318,331
110.97,318,333
111.95,319,335
112.94,318,336
113.90,318,337
114.87,318,341
115.85,318,340
116.83,318,343
117.80,318,345
118.77,319,347
119.74,318,348
120.72,319,348
121.69,318,348
122.66,318,347
123.64,318,347
124.61,319,345
125.58,318,343
126.54,318,343
127.52,319,339
128.48,319,340
129.46,318,339
130.44,319,338
131.42,319,339
132.39,318,337
133.36,319,338
134.32,319,338
135.29,318,341
136.27,318,341
137.25,319,341
138.21,319,344
139.18,319,347
140.15,319,347
141.12,318,345
142.09,319,347
143.06,319,345
144.04,319,347
145.02,319,348
145.99,319,346
146.96,319,349
