=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.12.05 23:00:52 =~=~=~=~=~=~=~=~=~=~=~=
2þCLEARDATA
time(milli),GSR,Volt
0.31,382,392
1.38,382,389
2.34,382,389
3.20,382,388
4.06,382,388
4.90,382,391
5.76,382,394
6.62,382,396
7.48,382,399
8.34,382,401
9.20,382,403
10.06,382,406
10.96,383,410
11.86,382,413
12.76,382,414
13.66,382,415
14.56,382,415
15.46,382,415
16.36,382,415
17.26,382,415
18.17,382,415
19.07,382,415
19.97,382,414
20.87,382,413
21.77,382,412
22.67,382,411
23.58,383,410
24.47,382,409
25.38,382,408
26.28,383,408
27.18,382,407
28.08,382,408
28.98,382,407
29.87,382,407
30.77,382,408
31.67,382,407
32.58,383,405
33.48,382,404
34.38,382,402
35.28,382,401
36.18,382,399
37.08,383,398
37.98,382,396
38.88,383,394
39.78,383,394
40.69,382,392
41.59,382,391
42.49,382,395
43.39,383,399
44.29,382,403
45.19,382,409
46.10,382,412
46.99,383,415
47.90,383,418
48.80,382,419
49.70,382,420
50.61,382,422
51.52,382,423
52.42,383,423
53.32,382,421
54.22,382,419
55.12,382,416
56.02,382,412
56.92,382,407
57.82,382,403
58.72,382,399
59.62,382,397
60.52,382,396
61.42,383,395
62.33,382,396
63.23,382,397
64.14,382,400
65.03,383,401
65.94,382,404
66.85,383,406
67.75,382,407
68.65,383,408
69.55,383,409
70.46,383,410
71.36,382,410
72.26,383,411
73.17,382,410
74.08,382,410
74.98,383,409
75.88,383,409
76.78,382,410
77.68,383,410
78.58,382,411
79.49,383,412
80.39,382,412
81.30,383,412
82.21,383,410
83.11,383,408
84.02,383,408
84.92,382,408
85.82,382,407
86.73,383,407
87.63,383,408
88.54,382,407
89.45,383,406
90.34,382,406
91.25,383,405
92.15,383,403
93.06,383,400
93.97,382,401
94.87,383,400
95.78,383,400
96.69,383,401
97.59,383,401
98.49,382,402
99.39,383,403
100.29,382,404
101.26,382,405
102.23,383,406
103.20,382,406
104.18,382,406
105.14,383,407
106.11,382,407
107.08,383,406
108.04,383,405
109.00,383,404
109.97,382,405
110.95,382,405
111.94,383,405
112.92,383,406
113.89,382,406
114.86,382,407
115.83,383,407
116.80,383,405
117.78,382,403
118.74,382,400
119.72,383,399
120.69,383,399
121.66,383,399
122.63,382,400
123.60,383,401
124.57,382,401
125.54,382,400
126.50,383,399
127.47,383,397
128.45,383,397
129.43,383,398
130.41,382,400
131.38,382,403
132.35,383,407
133.31,382,411
134.28,383,415
135.26,383,416
136.24,383,418
137.20,382,417
138.18,383,414
139.15,383,411
140.12,383,407
141.09,383,403
142.05,383,402
143.02,383,402
144.00,383,404
144.97,383,406
145.94,383,407
146.91,383,408
147.89,383,409
148.86,383,409
149.84,382,410
150.82,383,410
151.79,382,411
152.76,383,410
153.74,383,411
154.72,383,410
155.69,383,414
156.66,383,414
157.62,383,417
158.59,383,418
159.57,383,417
160.54,383,418
161.50,383,419
162.47,383,420
163.44,383,422
164.41,383,423
165.38,383,424
166.34,383,425
167.31,383,425
168.29,383,426
169.26,383,428
170.24,383,430
171.22,383,431
172.20,382,432
173.17,383,434
174.14,383,435
175.13,383,436
176.09,383,436
177.05,383,436
178.02,383,435
178.98,383,438
179.96,383,438
180.93,383,440
181.90,383,441
182.86,383,441
183.84,383,441
184.81,383,442
185.78,383,442
186.75,383,441
187.73,383,441
188.70,383,441
189.67,383,442
190.64,384,442
191.62,383,443
192.59,383,443
193.57,383,442
194.54,383,443
195.51,383,443
196.48,383,442
197.46,383,440
198.43,383,438
199.40,383,436
200.37,383,434
201.34,383,433
202.30,383,432
203.28,383,431
204.26,383,430
205.22,383,429
206.20,383,427
207.18,384,426
208.16,383,425
209.13,383,425
210.10,383,424
211.07,383,425
212.04,383,429
213.02,383,431
213.98,383,432
214.95,383,433
215.93,383,434
216.90,383,435
217.87,383,435
218.84,383,436
219.81,383,434
220.78,383,432
221.74,383,431
222.72,383,429
223.69,383,426
224.66,383,424
225.63,383,423
226.60,383,420
227.57,383,419
228.53,384,417
229.49,383,416
230.47,383,416
231.45,383,416
232.42,384,419
233.40,383,420
234.38,383,422
235.35,383,424
236.32,384,424
237.29,383,422
238.26,383,421
239.22,383,418
240.19,383,416
241.17,383,416
242.13,383,416
243.10,383,417
244.09,383,420
245.06,383,423
246.02,383,426
246.98,383,428
247.95,384,428
248.92,383,428
249.90,383,428
250.87,383,427
251.85,383,425
252.82,383,424
253.80,383,423
254.78,383,422
255.75,383,421
256.72,384,420
257.70,383,419
258.67,383,420
259.64,383,418
260.62,383,416
261.58,383,415
262.57,384,413
263.55,383,413
264.53,383,413
265.50,384,415
266.48,383,416
267.46,383,416
268.44,383,414
269.42,383,410
270.40,383,408
271.39,383,406
272.36,384,404
273.33,384,402
274.30,384,400
275.29,384,398
276.27,383,401
277.24,383,402
278.21,384,405
279.18,383,406
280.15,383,408
281.13,383,410
282.10,383,412
283.06,383,416
284.03,383,421
285.01,384,428
285.98,384,435
286.95,384,447
287.93,384,459
288.91,384,472
289.88,383,487
290.86,383,503
291.82,384,521
292.79,383,541
293.77,384,560
294.75,384,580
295.74,384,599
296.72,384,618
297.70,384,634
298.67,384,648
299.64,384,658
300.61,384,665
301.58,384,670
302.55,384,671
303.53,384,672
304.50,384,671
305.49,384,669
306.47,384,662
307.45,385,651
308.42,384,635
309.40,384,616
310.38,384,593
311.36,384,567
312.35,384,540
313.31,384,513
314.29,385,487
315.27,384,464
316.25,384,443
317.22,384,425
318.20,384,410
319.17,384,398
320.14,384,387
321.12,384,379
322.10,384,373
323.06,384,368
324.02,384,362
324.99,384,357
325.98,384,353
326.96,385,351
327.94,384,350
328.91,384,350
329.88,384,351
330.86,384,352
331.84,384,353
332.82,384,355
333.79,384,356
334.77,384,358
335.74,384,362
336.72,384,366
337.69,384,369
338.66,384,373
339.62,384,377
340.60,384,380
341.57,384,386
342.54,384,391
343.52,384,396
344.50,384,401
345.47,384,407
346.46,384,413
347.44,384,416
348.42,384,416
349.38,384,414
350.36,384,411
351.34,384,410
352.32,384,407
353.30,384,407
354.27,385,406
355.24,384,405
356.22,384,404
357.20,384,402
358.18,385,400
359.17,384,398
360.14,384,396
361.12,384,394
362.10,384,394
363.07,384,394
364.04,384,398
365.00,385,403
365.97,384,409
366.95,384,414
367.94,384,419
368.92,384,423
369.90,384,427
370.87,384,429
371.85,384,431
372.84,384,432
373.81,384,431
374.80,384,428
375.77,384,427
376.75,384,424
377.74,384,422
378.72,384,419
379.70,384,416
380.67,384,415
381.64,384,413
382.62,384,412
383.59,384,413
384.56,384,414
385.54,384,416
386.51,384,416
387.49,385,416
388.47,384,415
389.46,384,414
390.44,384,414
391.42,384,414
392.39,384,416
393.37,384,420
394.35,384,425
395.32,384,429
396.30,385,431
397.27,384,432
398.25,384,431
399.23,384,431
400.21,384,430
401.18,384,430
402.17,385,430
403.14,384,428
404.10,385,425
405.07,384,424
406.03,384,422
407.00,385,419
407.97,384,418
408.95,385,416
409.94,384,416
410.92,384,418
411.90,384,419
412.87,385,421
413.85,384,423
414.84,384,424
415.81,385,425
416.80,384,424
417.77,384,423
418.75,384,422
419.74,385,421
420.72,384,421
421.69,384,421
422.66,385,422
423.63,384,423
424.60,384,426
425.57,384,428
426.54,384,429
427.51,385,428
428.48,384,426
429.46,385,423
430.45,385,422
431.43,385,422
432.42,384,423
433.38,385,425
434.36,385,425
435.33,384,426
436.31,385,427
437.29,384,426
438.26,384,423
439.24,385,423
440.22,384,424
441.20,385,424
442.18,384,425
443.17,384,425
444.14,385,424
445.12,385,423
446.10,385,421
447.07,384,417
448.05,384,415
449.01,385,415
449.97,385,418
450.95,384,422
451.94,385,425
452.92,385,428
453.90,385,432
454.87,385,435
455.85,385,438
456.83,384,441
457.80,385,443
458.79,385,445
459.76,385,446
460.74,385,448
461.73,385,450
462.70,385,451
463.69,385,453
464.66,384,453
465.63,385,453
466.61,385,451
467.58,385,451
468.55,385,450
469.52,385,448
470.49,385,447
471.47,385,445
472.46,385,445
473.44,385,446
474.42,385,448
475.39,385,450
476.37,385,452
477.35,385,453
478.33,385,455
479.31,385,455
480.29,385,456
481.26,385,456
482.22,385,456
483.20,385,455
484.18,385,456
485.17,385,455
486.14,385,454
487.12,385,452
488.10,385,451
489.07,385,451
490.05,385,451
491.01,386,451
491.97,385,451
492.95,385,451
493.94,385,453
494.92,385,456
495.90,385,457
496.88,385,458
497.86,385,458
498.84,385,458
499.81,385,459
500.79,385,460
501.78,385,459
502.75,385,457
503.72,385,455
504.70,385,456
505.67,385,458
506.66,385,460
507.64,385,460
508.62,385,463
509.59,385,465
510.56,385,467
511.54,385,469
512.51,385,471
513.48,386,472
514.46,385,473
515.45,385,472
516.43,385,469
517.41,385,467
518.38,385,466
519.35,385,467
520.32,385,468
521.30,386,468
522.28,386,468
523.28,385,467
524.25,385,465
525.22,385,463
526.20,385,461
527.18,385,460
528.17,385,460
529.14,385,461
530.12,386,464
531.10,385,465
532.07,385,464
533.05,385,462
534.01,385,460
534.97,385,458
535.95,385,456
536.94,385,453
537.92,385,452
538.90,385,451
539.88,385,450
540.86,386,448
541.84,385,446
542.81,386,443
543.79,386,440
544.78,385,437
545.74,385,434
546.73,385,429
547.70,385,426
548.68,385,422
549.66,385,419
550.62,385,416
551.60,386,412
552.57,385,410
553.54,386,407
554.51,386,403
555.48,385,399
556.46,386,395
557.45,385,393
558.43,385,392
559.41,385,391
560.38,385,391
561.35,385,390
562.33,385,390
563.31,385,390
564.28,385,391
565.28,385,390
566.25,385,390
567.23,385,388
568.21,385,387
569.18,385,386
570.17,385,386
571.14,386,384
572.12,386,382
573.10,386,379
574.07,385,377
575.05,385,375
576.01,385,374
576.97,385,371
577.95,385,371
578.94,385,370
579.92,386,369
580.90,385,368
581.88,385,366
582.86,386,365
583.84,385,363
584.81,385,360
585.79,386,358
586.78,385,355
587.75,385,353
588.74,385,351
589.72,385,351
590.70,385,352
591.67,385,352
592.66,385,356
593.63,385,358
594.61,386,360
595.58,385,361
596.55,386,361
597.52,385,360
598.49,386,359
599.47,385,354
600.46,385,352
601.44,385,348
602.42,385,345
603.39,385,343
604.37,385,341
605.34,386,341
606.32,385,341
607.30,385,339
608.29,385,338
609.26,385,338
610.22,385,337
611.20,385,334
612.18,385,334
613.17,385,331
614.14,385,330
615.12,385,330
616.10,385,330
617.07,385,332
618.05,385,335
619.01,385,339
619.98,385,341
620.96,385,347
621.94,385,350
622.93,385,352
623.90,385,352
624.88,385,352
625.86,385,352
626.84,385,352
627.81,385,349
628.79,385,347
629.78,385,346
630.75,385,344
631.74,385,344
632.72,385,343
633.70,385,342
634.67,385,341
635.64,385,340
636.62,385,340
637.59,385,340
638.56,385,339
639.54,385,339
640.51,386,340
641.48,386,339
642.46,386,340
643.45,385,339
644.43,386,339
645.42,385,338
646.39,385,337
647.37,385,336
648.34,385,336
649.31,385,337
650.28,385,338
651.26,385,338
652.24,385,340
653.22,385,345
654.20,385,348
655.18,385,352
656.17,385,355
657.14,385,357
658.12,386,358
659.10,385,357
660.07,385,355
661.05,385,352
662.01,385,351
662.98,385,349
663.96,385,348
664.94,385,349
665.93,385,349
666.91,385,348
667.88,385,347
668.86,386,346
669.84,385,346
670.81,385,346
671.79,385,345
672.78,385,346
673.75,385,346
674.72,385,346
675.69,385,345
676.66,385,343
677.63,385,340
678.61,386,339
679.58,385,338
680.55,385,337
681.52,386,337
682.49,385,336
683.46,385,335
684.45,385,336
685.43,385,336
686.42,385,339
687.40,385,340
688.38,385,342
689.35,385,345
690.32,385,347
691.30,385,349
692.28,385,350
693.28,385,349
694.25,385,351
695.22,385,352
696.20,385,352
697.18,385,352
698.17,385,351
699.14,385,351
700.12,385,350
701.10,386,349
702.07,385,346
703.05,386,345
704.01,385,343
704.98,385,344
705.96,385,344
706.94,385,345
707.93,385,349
708.91,385,351
709.88,385,353
710.86,385,354
711.84,385,353
712.82,385,351
713.80,385,348
714.79,385,347
715.76,385,346
716.74,385,348
717.73,385,351
718.70,385,354
719.69,385,357
720.67,385,360
721.66,385,362
722.63,385,365
723.61,385,365
724.58,385,365
725.55,385,365
726.52,385,364
727.49,385,362
728.47,386,361
729.46,385,359
730.44,385,358
731.42,385,357
732.39,385,356
733.37,385,356
734.34,385,355
735.32,385,355
736.30,385,354
737.27,385,353
738.24,385,351
739.22,385,349
740.20,386,346
741.18,386,345
742.17,385,343
743.14,385,342
744.12,385,342
745.10,385,342
746.07,385,342
747.05,385,343
748.01,385,346
748.98,385,348
749.96,386,351
750.94,386,352
751.93,386,352
752.90,386,353
753.88,385,354
754.86,385,355
755.84,386,356
756.82,385,355
757.80,385,354
758.78,385,352
759.76,385,352
760.74,386,351
761.72,385,350
762.70,385,349
763.67,385,349
764.64,385,348
765.62,386,348
766.59,385,347
767.56,385,346
768.54,386,346
769.52,386,344
770.49,386,345
771.47,386,346
772.46,385,349
773.44,385,352
774.42,386,352
775.40,386,352
776.38,386,352
777.36,385,351
778.33,385,350
779.31,386,350
780.28,385,350
781.26,385,351
782.24,386,352
783.22,386,354
784.20,386,355
785.18,386,355
786.17,386,355
787.14,386,355
788.12,386,355
789.10,386,357
790.07,385,357
791.04,386,358
792.00,386,357
792.97,386,356
793.95,386,355
794.94,386,354
795.91,385,353
796.88,386,353
797.86,386,352
798.84,385,353
799.83,385,353
800.81,385,353
801.78,385,353
802.76,386,353
803.73,386,352
804.70,386,350
805.68,386,347
806.66,385,346
807.62,386,345
808.60,386,343
809.57,385,344
810.54,386,345
811.51,385,346
812.48,386,346
813.46,386,346
814.45,386,346
815.43,386,347
816.42,386,345
817.39,386,347
818.37,386,350
819.34,386,353
820.32,386,357
821.29,386,361
822.28,386,365
823.26,386,369
824.22,385,374
825.20,386,378
826.18,386,380
827.17,385,381
828.14,386,378
829.12,386,374
830.10,386,368
831.07,386,362
832.05,385,357
833.01,386,353
833.98,386,349
834.96,386,346
835.94,386,345
836.93,386,343
837.90,386,342
838.87,386,340
839.85,386,339
840.83,386,340
841.80,386,340
842.79,386,341
843.76,386,343
844.74,386,345
845.73,386,347
846.70,386,347
847.68,386,350
848.66,386,351
849.62,386,353
850.60,386,356
851.57,386,357
852.54,386,357
853.51,386,356
854.48,386,354
855.46,386,351
856.45,386,350
857.43,386,349
858.41,386,347
859.38,386,347
860.35,386,349
861.32,386,350
862.30,386,351
863.28,386,353
864.28,386,354
865.25,385,355
866.22,386,356
867.20,387,358
868.18,386,359
869.17,386,361
870.14,386,362
871.12,387,362
872.10,386,363
873.07,386,363
874.05,386,363
875.01,387,363
875.97,386,362
