=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.12.05 23:07:52 =~=~=~=~=~=~=~=~=~=~=~=
üCLEARDATA
time(milli),GSR,Volt
0.31,64,352
1.31,64,352
2.21,64,353
3.02,64,353
3.82,65,354
4.64,65,355
5.46,64,357
6.27,65,358
7.08,65,359
7.89,65,358
8.70,65,358
9.52,65,355
10.33,65,354
11.18,65,353
12.04,65,351
12.89,65,352
13.74,65,352
14.58,65,353
15.44,65,353
16.29,66,353
17.14,65,353
18.00,65,353
18.84,65,352
19.69,65,352
20.54,65,352
21.39,65,353
22.25,66,356
23.10,65,358
23.95,66,360
24.80,66,361
25.65,65,360
26.50,66,359
27.36,66,359
28.22,66,358
29.06,66,358
29.91,66,357
30.77,65,358
31.62,66,358
32.48,66,360
33.34,66,360
34.18,66,360
35.03,66,362
35.88,66,363
36.74,66,363
37.59,66,361
38.45,66,360
39.30,67,358
40.15,66,357
41.01,66,357
41.86,66,357
42.72,66,356
43.58,66,355
44.42,66,354
45.27,66,353
46.12,66,352
46.98,67,352
47.84,67,353
48.70,67,353
49.54,66,353
50.39,67,354
51.24,67,354
52.10,67,355
52.95,67,353
53.81,66,352
54.66,67,350
55.52,67,350
56.38,67,350
57.23,67,352
58.09,67,354
58.94,67,357
59.78,67,360
60.63,67,361
61.48,67,363
62.34,67,363
63.19,67,362
64.05,67,360
64.90,67,357
65.74,67,355
66.60,67,355
67.46,68,356
68.31,67,358
69.18,68,359
70.03,68,360
70.88,68,361
71.73,67,361
72.59,68,361
73.45,68,361
74.30,68,361
75.16,68,361
76.02,68,361
76.87,68,361
77.72,68,361
78.58,68,360
79.44,68,361
80.30,68,362
81.15,68,364
82.01,68,364
82.86,68,366
83.72,68,366
84.58,68,367
85.42,68,367
86.28,68,366
87.14,68,366
88.00,69,365
88.85,68,365
89.70,68,364
90.55,69,363
91.42,69,363
92.28,69,362
93.13,68,360
93.99,69,358
94.85,69,356
95.70,69,351
96.57,68,350
97.43,69,349
98.28,68,349
99.14,69,350
100.00,69,351
100.92,69,352
101.84,68,354
102.77,69,357
103.70,69,358
104.62,69,359
105.55,69,360
106.47,69,358
107.40,69,356
108.33,69,355
109.25,69,355
110.17,69,356
111.09,69,356
112.00,70,355
112.92,69,355
113.84,69,355
114.76,69,357
115.69,69,359
116.62,69,362
117.54,70,366
118.46,69,368
119.38,69,370
120.30,70,371
121.23,69,372
122.16,69,374
123.08,70,375
124.00,70,377
124.91,70,377
125.83,70,377
126.76,70,376
127.68,70,375
128.60,70,374
129.53,70,373
130.44,70,372
131.38,70,372
132.30,70,372
133.22,70,371
134.14,70,372
135.06,70,371
135.98,70,374
136.90,70,376
137.82,70,378
138.74,71,380
139.67,71,382
140.61,70,383
141.53,71,384
142.44,71,385
143.38,71,385
144.30,71,385
145.22,70,383
146.14,70,381
147.06,70,377
147.98,71,373
148.90,70,372
149.83,71,373
150.76,71,374
151.68,71,375
152.61,71,378
153.52,71,380
154.44,70,383
155.37,71,385
156.29,70,388
157.21,71,389
158.13,71,392
159.06,71,393
159.97,71,394
160.90,70,393
161.84,71,392
162.75,71,391
163.67,71,390
164.60,71,389
165.52,71,388
166.44,71,388
167.37,71,389
168.29,71,392
169.21,71,393
170.13,71,394
171.05,72,394
171.97,71,393
172.90,71,392
173.82,71,391
174.74,71,390
175.66,72,389
176.59,72,387
177.52,71,384
178.44,72,383
179.37,71,380
180.29,72,381
181.22,71,381
182.14,72,381
183.06,72,380
183.98,72,378
184.90,72,376
185.82,72,375
