time,gsr,ecg
0.31,328,324
1.38,329,321
2.34,329,318
3.2,329,318
4.06,329,319
4.9,329,321
5.77,329,323
6.62,329,325
7.49,329,326
8.35,329,326
9.21,329,327
10.07,328,326
10.97,329,327
11.87,329,325
12.77,329,325
13.67,328,325
14.57,328,324
15.47,329,323
16.37,329,323
17.27,329,322
18.18,328,320
19.08,329,320
19.97,329,322
20.87,329,325
21.77,328,328
22.67,328,333
23.58,329,336
24.47,328,338
25.38,329,338
26.28,328,337
27.18,328,335
28.08,328,333
28.98,329,331
29.87,329,329
30.77,328,329
31.67,328,328
32.58,328,327
33.48,328,326
34.38,328,325
35.28,328,324
36.18,328,324
37.08,329,326
37.98,328,329
38.88,329,331
39.78,328,333
40.69,329,333
41.59,328,335
42.49,328,334
43.39,328,335
44.29,328,335
45.19,328,334
46.1,328,332
46.99,328,330
47.9,328,330
48.8,328,329
49.7,328,329
50.61,328,329
51.52,328,329
52.42,328,330
53.32,328,330
54.22,328,329
55.12,328,329
56.02,328,326
56.92,329,327
57.82,328,325
58.72,328,325
59.62,328,325
60.53,329,325
61.43,328,324
62.34,328,324
63.24,328,322
64.14,328,322
65.04,328,321
65.94,328,322
66.85,328,323
67.75,327,325
68.65,328,325
69.55,328,325
70.46,328,325
71.36,328,325
72.26,328,325
73.17,328,325
74.08,328,326
74.98,328,325
75.88,328,325
76.78,328,324
77.68,328,323
78.58,328,321
79.49,328,320
80.39,328,318
81.3,328,317
82.21,328,314
83.11,328,313
84.02,328,312
84.92,328,313
85.82,328,318
86.73,328,322
87.64,328,324
88.54,328,326
89.45,328,328
90.34,328,327
91.25,328,326
92.15,328,326
93.06,327,326
93.97,328,326
94.87,328,325
95.78,328,325
96.69,327,324
97.59,328,324
98.49,327,323
99.39,328,322
100.29,327,321
101.26,327,320
102.23,328,317
103.2,327,316
104.18,327,317
105.14,328,319
106.11,327,321
107.08,328,326
108.04,328,329
109,327,333
109.97,328,336
110.95,327,338
111.94,328,339
112.92,327,340
113.89,328,337
114.86,327,337
115.83,327,335
116.8,327,333
117.79,327,332
118.75,327,331
119.72,327,330
120.69,327,329
121.66,327,328
122.64,327,326
123.61,327,325
124.58,327,323
125.54,327,323
126.51,327,324
127.47,328,326
128.45,327,326
129.43,327,326
130.41,327,328
131.38,327,327
132.35,327,325
133.31,327,324
134.28,327,324
135.26,327,325
136.24,327,325
137.2,327,325
138.18,327,324
139.15,327,321
140.12,327,320
141.09,327,319
142.05,327,320
143.02,327,320
144,327,320
144.97,327,321
145.94,327,321
146.91,327,324
147.88,327,327
148.86,327,329
149.83,327,332
150.79,327,333
151.76,327,333
152.74,327,332
153.72,327,334
154.68,326,334
155.67,327,333
156.63,327,332
157.6,327,331
158.58,327,330
159.55,327,331
160.53,327,332
161.5,327,333
162.46,327,333
163.43,327,334
164.4,327,333
165.37,327,333
166.33,327,331
167.3,327,329
168.29,327,329
169.26,327,331
170.22,327,331
171.18,327,333
172.16,327,335
173.13,327,336
174.11,327,336
175.07,327,334
176.04,327,333
177.01,327,331
177.98,327,331
178.96,327,333
179.93,327,335
180.9,327,338
181.86,327,341
182.83,327,343
183.81,327,345
184.78,326,346
185.75,327,347
186.72,327,349
187.69,326,350
188.66,327,351
189.62,327,351
190.6,327,351
191.56,327,350
192.54,326,350
193.5,326,347
194.48,326,346
195.46,327,344
196.43,327,344
197.4,326,343
198.37,326,343
199.34,327,343
200.3,326,342
201.27,327,342
202.23,326,341
203.2,327,340
204.18,327,339
205.16,326,339
206.14,327,339
207.1,326,340
208.06,326,340
209.03,327,340
210,327,338
210.97,326,338
211.94,327,341
212.91,326,345
213.88,326,350
214.86,326,354
215.83,326,356
216.8,326,356
217.77,326,355
218.74,326,354
219.7,327,352
220.67,327,350
221.65,327,349
222.63,326,347
223.61,326,347
224.58,326,347
225.56,326,346
226.54,327,346
227.51,326,345
228.48,326,345
229.46,326,344
230.44,326,342
231.41,326,339
232.38,326,336
233.35,326,335
234.32,326,333
235.29,326,331
236.26,326,330
237.22,326,329
238.19,326,329
239.16,326,329
240.13,326,330
241.1,326,330
242.07,326,331
243.05,327,332
244.02,326,332
244.98,326,333
245.94,326,333
246.92,326,334
247.89,326,334
248.88,327,335
249.84,326,335
250.82,326,335
251.79,326,335
252.77,326,334
253.74,326,333
254.72,326,333
255.69,326,330
256.66,326,329
257.62,326,328
258.6,326,326
259.58,326,325
260.55,326,323
261.53,326,320
262.5,326,318
263.49,326,316
264.47,326,315
265.45,326,316
266.42,326,317
267.4,326,318
268.38,326,318
269.36,326,317
270.35,326,318
271.31,326,322
272.29,326,326
273.26,326,329
274.25,326,332
275.22,326,333
276.2,326,334
277.17,326,334
278.14,326,333
279.12,326,333
280.1,326,333
281.06,326,331
282.03,326,330
283.01,326,328
283.98,326,327
284.97,326,323
285.94,326,318
286.92,326,314
287.9,326,311
288.88,325,308
289.86,325,305
290.84,325,303
291.81,325,302
292.78,326,301
293.76,326,302
294.73,325,304
295.7,326,306
296.67,325,309
297.64,326,312
298.61,326,317
299.58,326,322
300.56,326,329
301.53,325,336
302.5,326,344
303.49,325,354
304.47,325,363
305.46,326,375
306.43,325,390
307.4,326,406
308.38,326,424
309.36,326,442
310.35,325,460
311.33,325,477
312.3,326,494
313.27,326,511
314.25,326,528
315.23,326,541
316.21,326,552
317.18,326,560
318.16,326,566
319.14,326,570
320.11,326,574
321.09,326,576
322.05,326,577
323.01,326,576
323.98,326,572
324.96,326,563
325.94,326,548
326.92,326,530
327.9,326,507
328.87,326,480
329.85,326,451
330.83,326,423
331.81,326,395
332.78,326,370
333.76,326,348
334.74,326,331
335.73,326,316
336.7,326,303
337.69,326,292
338.66,326,285
339.63,326,279
340.6,325,275
341.57,326,272
342.54,326,271
343.52,325,270
344.5,326,270
345.47,326,272
346.46,326,272
347.44,326,272
348.42,325,274
349.38,326,277
350.36,326,281
351.34,325,284
352.32,325,287
353.3,325,290
354.27,325,294
355.26,325,298
356.22,325,301
357.2,325,304
358.18,326,306
359.17,326,308
360.14,326,310
361.12,326,313
362.1,325,315
363.07,325,318
364.03,325,320
365,325,320
365.97,325,321
366.95,325,322
367.94,325,322
368.92,325,322
369.9,325,324
370.87,325,327
371.85,325,330
372.84,325,331
373.81,325,334
374.8,325,335
375.77,325,337
376.75,325,340
377.74,326,342
378.72,325,343
379.7,325,344
380.67,325,345
381.64,325,346
382.62,325,346
383.59,325,346
384.56,325,344
385.54,325,342
386.51,325,339
387.49,325,337
388.47,325,334
389.46,325,332
390.44,325,331
391.42,325,332
392.39,325,333
393.37,325,335
394.35,325,336
395.33,325,337
396.32,325,338
397.28,325,339
