time,gsr,ecg
0.00,,327
8.00,,325
25.00,,333
44.00,,341
62.00,,339
81.00,,339
100.00,,341
119.00,,340
140.00,,343
159.00,,341
179.00,,338
198.00,,354
219.00,,356
238.00,,344
258.00,,337
278.00,,334
297.00,,333
317.00,,361
337.00,,509
357.00,,217
376.00,,298
396.00,,338
416.00,,358
436.00,,356
455.00,,366
476.00,,382
495.00,,387
515.00,,399
535.00,,396
555.00,,378
574.00,,342
593.00,,336
614.00,,311
633.00,,319
653.00,,317
673.00,,331
693.00,,327
712.00,,321
733.00,,323
752.00,,325
772.00,,317
791.00,,325
812.00,,338
831.00,,359
850.00,,351
871.00,,328
890.00,,342
910.00,,325
929.00,,393
950.00,,489
969.00,,237
989.00,,316
1009.00,,343
1030.00,,354
1050.00,,364
1072.00,,366
1092.00,,374
1113.00,,391
1134.00,,396
1155.00,,385
1175.00,,356
1196.00,,334
1217.00,,324
1238.00,,325
1258.00,,332
1280.00,,340
1300.00,,341
1320.00,,340
1342.00,,342
1362.00,,342
1383.00,,352
1404.00,,344
1425.00,,359
1445.00,,359
1467.00,,338
1487.00,,323
1508.00,,324
1528.00,,335
1550.00,,525
1570.00,,216
1591.00,,290
1612.00,,332
1633.00,,348
1653.00,,357
1675.00,,365
1695.00,,379
1716.00,,405
1737.00,,410
1758.00,,402
1778.00,,382
1800.00,,346
1820.00,,340
1841.00,,345
1861.00,,337
1883.00,,351
1903.00,,355
1924.00,,355
1945.00,,345
1966.00,,345
1986.00,,346
2008.00,,351
2028.00,,360
2049.00,,364
2070.00,,343
2091.00,,328
2111.00,,332
2132.00,,339
2153.00,,551
2173.00,,217
2194.00,,297
2215.00,,350
2236.00,,374
2256.00,,369
2278.00,,388
2298.00,,397
2319.00,,422
2340.00,,432
2361.00,,418
2381.00,,383
2403.00,,362
2423.00,,344
2444.00,,337
2465.00,,344
2486.00,,341
2506.00,,341
2527.00,,338
2548.00,,337
2569.00,,336
2589.00,,332
2611.00,,340
2631.00,,357
2652.00,,349
2673.00,,334
2694.00,,325
2714.00,,328
2736.00,,402
2756.00,,467
2777.00,,241
2798.00,,342
2819.00,,369
2839.00,,376
2860.00,,387
2881.00,,406
2902.00,,415
2922.00,,426
2944.00,,425
2964.00,,408
2984.00,,378
3006.00,,340
3026.00,,333
3047.00,,326
3068.00,,332
3089.00,,333
3109.00,,334
3131.00,,337
3151.00,,328
3172.00,,326
3192.00,,335
3214.00,,349
3234.00,,351
3255.00,,340
3276.00,,325
3297.00,,334
3317.00,,357
3339.00,,550
3359.00,,230
3380.00,,309
3401.00,,365
3422.00,,371
3442.00,,387
3464.00,,390
3484.00,,403
3505.00,,419
3525.00,,419
3547.00,,398
3567.00,,367
3588.00,,330
3609.00,,317
3630.00,,309
3650.00,,319
3672.00,,322
3692.00,,323
3713.00,,325
3734.00,,329
3755.00,,330
3775.00,,338
3796.00,,352
3817.00,,363
3837.00,,337
3858.00,,339
3879.00,,347
3900.00,,346
3920.00,,568
3942.00,,235
3962.00,,315
3983.00,,366
4004.00,,371
4025.00,,374
4045.00,,385
4067.00,,390
4087.00,,408
4108.00,,409
4129.00,,396
4150.00,,363
4170.00,,329
4191.00,,308
4212.00,,302
4233.00,,311
4253.00,,315
4275.00,,317
4295.00,,323
4316.00,,326
4337.00,,329
4358.00,,345
4378.00,,353
4400.00,,352
4420.00,,341
4441.00,,335
4462.00,,322
4483.00,,472
4503.00,,352
4524.00,,265
4545.00,,334
4566.00,,351
4586.00,,355
4608.00,,365
4628.00,,367
4648.00,,386
4670.00,,388
4690.00,,393
4711.00,,366
4732.00,,325
4753.00,,309
4773.00,,302
4795.00,,299
4815.00,,313
4836.00,,312
4856.00,,329
4878.00,,324
4898.00,,337
4919.00,,355
4940.00,,361
4961.00,,346
4981.00,,331
5003.00,,338
5023.00,,314
5044.00,,524
5065.00,,270
5086.00,,267
5106.00,,341
5128.00,,343
5148.00,,349
5169.00,,352
5189.00,,365
5211.00,,378
5231.00,,387
5252.00,,375
5273.00,,351
5294.00,,327
5314.00,,309
5336.00,,307
5356.00,,320
5377.00,,320
5398.00,,333
5419.00,,341
5439.00,,351
5460.00,,350
5481.00,,365
5501.00,,367
5522.00,,362
5543.00,,338
5564.00,,342
5584.00,,322
5606.00,,500
5626.00,,331
5647.00,,257
5668.00,,337
5689.00,,349
5709.00,,351
5731.00,,357
5751.00,,368
5772.00,,383
5793.00,,395
5814.00,,388
5834.00,,375
5855.00,,338
5876.00,,327
5897.00,,331
5917.00,,325
5939.00,,328
5959.00,,347
5980.00,,338
6001.00,,341
6022.00,,348
6042.00,,359
6064.00,,379
6084.00,,379
6105.00,,358
6126.00,,347
6147.00,,335
6167.00,,336
6188.00,,536
6209.00,,211
6230.00,,271
6250.00,,317
6272.00,,324
6292.00,,334
6312.00,,339
6334.00,,363
6354.00,,368
6375.00,,372
6396.00,,362
6417.00,,333
6437.00,,312
6459.00,,296
6479.00,,306
6500.00,,313
6520.00,,321
6542.00,,314
6562.00,,323
6583.00,,324
6604.00,,326
6625.00,,313
6645.00,,334
6667.00,,338
6687.00,,314
6708.00,,304
6729.00,,304
6750.00,,293
6770.00,,506
6792.00,,202
6812.00,,256
6833.00,,319
6853.00,,340
6875.00,,341
6895.00,,351
6916.00,,360
6937.00,,383
6958.00,,401
6978.00,,392
7000.00,,371
7020.00,,347
7041.00,,334
7062.00,,341
7083.00,,338
7103.00,,346
7124.00,,346
7145.00,,353
7165.00,,347
